date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:13	4505/4505	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22801f91fdfb39e895f765a0cd495f73f6%22	https://www.limlondon.com/robots.txt		(from )
14:24:13	106566/106566	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2013:58:12%20GMT	https://www.limlondon.com/	C:/My%20Web%20Sites/lea%20formate/www.limlondon.com/index.html	(from )
14:24:14	127137/127137	---M-Z	200	added ('OK')	text/css	etag:%2251bac2d9c2458eefd07e74e1ee3d83a5%22	https://cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/css/limlondon-website.webflow.18b35c199.min.css	C:/My%20Web%20Sites/lea%20formate/cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/css/limlondon-website.webflow.18b35c199.min.css	(from https://www.limlondon.com/)
14:24:14	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/lea%20formate/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.limlondon.com/)
14:24:14	1216/1216	---M--	200	added ('OK')	image/png	etag:%22bc50a3da9b349d0a84ae1790db31f206%22	https://cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/636e0fdd5df0e0db23f00fc1_Fav%20Icon_new32.png	C:/My%20Web%20Sites/lea%20formate/cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/636e0fdd5df0e0db23f00fc1_Fav%20Icon_new32.png	(from https://www.limlondon.com/)
14:24:15	9575/9575	---M--	200	added ('OK')	image/png	etag:%224b674c00b74c8a00992da5c11dfc4023%22	https://cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/636e0fdd5df0e04debf00fc2_Fav%20Icon_new.png	C:/My%20Web%20Sites/lea%20formate/cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/636e0fdd5df0e04debf00fc2_Fav%20Icon_new.png	(from https://www.limlondon.com/)
14:24:15	245024/245024	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2028%20Dec%202024%2008:54:17%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/lea%20formate/connect.facebook.net/en_US/fbevents.js	(from https://www.limlondon.com/)
14:24:15	13321/13321	---M-Z	200	added ('OK')	application/javascript	etag:W/%223409-w9Y03eyVWdhcmN83QS4sGpke7HE%22	https://cdn.jsdelivr.net/gh/studio-freight/lenis@0.2.28/bundled/lenis.js	C:/My%20Web%20Sites/lea%20formate/cdn.jsdelivr.net/gh/studio-freight/lenis@0.2.28/bundled/lenis.js	(from https://www.limlondon.com/)
14:24:15	29614/29614	---M-Z	200	added ('OK')	application/javascript	etag:W/%2273ae-nwFPCwd3UXiTZ7YuAXjbCNGDpOw%22	https://cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	C:/My%20Web%20Sites/lea%20formate/cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	(from https://www.limlondon.com/)
14:24:16	18458/18458	---M-Z	200	added ('OK')	text/css	etag:W/%22481a-w966VhbiP2ej2teDfp6jz8kAtCQ%22	https://cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/lea%20formate/cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.css	(from https://www.limlondon.com/)
14:24:16	79359/79359	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2014:24:48%20GMT	https://www.limlondon.com/course	C:/My%20Web%20Sites/lea%20formate/www.limlondon.com/course.html	(from https://www.limlondon.com/)
14:24:16	77845/77845	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2015:05:08%20GMT	https://www.limlondon.com/about	C:/My%20Web%20Sites/lea%20formate/www.limlondon.com/about.html	(from https://www.limlondon.com/)
14:24:16	53998/53998	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Dec%202024%2020:49:02%20GMT	https://www.limlondon.com/blog	C:/My%20Web%20Sites/lea%20formate/www.limlondon.com/blog.html	(from https://www.limlondon.com/)
14:24:17	36079/36079	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2009:17:22%20GMT	https://www.limlondon.com/contact-us	C:/My%20Web%20Sites/lea%20formate/www.limlondon.com/contact-us.html	(from https://www.limlondon.com/)
14:24:17	1156392/1156392	---M--	200	added ('OK')	image/gif	etag:%22f3e12226fdf9f006d046f2470d61d5ba%22	https://cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/636e0fdd5df0e0c265f00faf_dylan.gif	C:/My%20Web%20Sites/lea%20formate/cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/636e0fdd5df0e0c265f00faf_dylan.gif	(from https://www.limlondon.com/)
14:24:17	424328/424328	---M--	200	added ('OK')	image/gif	etag:%2205b7884e7ee68016b45a09fb78a04b11%22	https://cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/636e0fdd5df0e08912f00fb1_students.gif.gif	C:/My%20Web%20Sites/lea%20formate/cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/636e0fdd5df0e08912f00fb1_students.gif.gif	(from https://www.limlondon.com/)
14:24:17	278/278	---M--	200	added ('OK')	image/png	etag:%22e407ffe3b8d32208ae5b2be9976c2faf%22	https://cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/6373a4e7a6eef2cb78d8e25a_x.png	C:/My%20Web%20Sites/lea%20formate/cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/6373a4e7a6eef2cb78d8e25a_x.png	(from https://www.limlondon.com/)
14:24:17	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=636e0fdd5df0e013bbf00f38	C:/My%20Web%20Sites/lea%20formate/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8030e.js	(from https://www.limlondon.com/)
14:24:18	787485/787485	---M-Z	200	added ('OK')	text/javascript	etag:%2257bc1d5e1188e0a6410cdbdfdc3fbff3%22	https://cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/js/webflow.98f9beea3.js	C:/My%20Web%20Sites/lea%20formate/cdn.prod.website-files.com/636e0fdd5df0e013bbf00f38/js/webflow.98f9beea3.js	(from https://www.limlondon.com/)
14:24:18	151700/151700	---M-Z	200	added ('OK')	application/javascript	etag:W/%2225094-ufWB3m+nARYKObHQxt5KtnPwqYA%22	https://cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/lea%20formate/cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.js	(from https://www.limlondon.com/)
14:24:18	1681/1681	---M-Z	200	added ('OK')	application/javascript	etag:W/%22691-nsW9ygnrEUkpEGcvy0hZTQTrY68%22	https://cdn.jsdelivr.net/npm/js-cookie@3.0.1/dist/js.cookie.min.js	C:/My%20Web%20Sites/lea%20formate/cdn.jsdelivr.net/npm/js-cookie@3.0.1/dist/js.cookie.min.js	(from https://www.limlondon.com/)
14:24:19	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2028%20Dec%202024%2008:54:21%20GMT	https://www.limlondon.com/a	C:/My%20Web%20Sites/lea%20formate/www.limlondon.com/a	(from https://connect.facebook.net/en_US/fbevents.js)
